,1-day,1-week,1-month,3-month,6-month,12-month
return_without_ratio,0.5626446226010949,1.0806359473054452,4.019320316514983,2.138920875373258,3.2469589725013743,32.14348506021717
return_with_ratio,0.6656616909618698,1.1368932359841408,4.23998868405425,2.72598982492136,4.780247918411473,33.74103380789428
