SK하이닉스,POSCO홀딩스,기아,포스코퓨처엠,메리츠금융지주,한화오션,HD한국조선해양,삼성중공업,한화에어로스페이스,CJ,LS,CJ대한통운,DB하이텍,한미사이언스,한전기술,LS ELECTRIC,한국앤컴퍼니,OCI홀딩스,한올바이오파마,현대엘리베이,삼양식품,금호타이어,두산,에스엘,LX세미콘,SK가스,SK네트웍스,코스모화학,한샘,후성,영원무역홀딩스,세아베스틸지주,세아제강지주,넥센타이어,세방전지,DI동일,SK디스커버리,한국단자,JW중외제약,HSD엔진,한화투자증권,경동나비엔,자화전자,SNT다이내믹스,흥아해운,빙그레,대상홀딩스,엘브이엠씨홀딩스,신성이엔지,E1,삼화콘덴서,LX하우시스,광동제약,코리아써키트,화신,현대퓨처넷,풍산홀딩스,KISCO홀딩스,아세아,남선알미늄,STX중공업,대원강업,포스코스틸리온,대한제당,스틱인베스트먼트,사조대림,알루코,YG PLUS,한농화성,현대비앤지스틸,한솔테크닉스,GS글로벌,태경비케이,디아이씨,우진,벽산,에이블씨엔씨,NI스틸,디아이,SNT에너지,디와이,태경케미컬,극동유화,가온전선,국제약품,한국수출포장,DRB동일,유니퀘스트,웅진,광명전기,아센디오,성안,부국철강,화천기계,콤텍시스템,인팩,상신브레이크,동원금속,평화산업,유엔젤,태원물산,한성기업,한국주강,HLB,셀트리온제약,JYP Ent.,리노공업,에스엠,동진쎄미켐,이오테크닉스,삼천당제약,메디톡스,나노신소재,동화기업,대주전자재료,SFA반도체,와이지엔터테인먼트,에스앤에스텍,솔브레인홀딩스,유진테크,차바이오텍,아프리카TV,이엠텍,성우하이텍,에프에스티,우리기술투자,티에스이,제우스,케이아이엔엑스,네패스,월덱스,시노펙스,테스,비츠로셀,테크윙,하이록코리아,켐트로닉스,한글과컴퓨터,이엔에프테크놀로지,엘오티베큠,덕산하이메탈,인바디,제룡전기,LS마린솔루션,미래컴퍼니,태웅,동국산업,디엔에프,로보스타,토비스,대아티아이,케이알엠,유니셈,네오위즈홀딩스,아바코,가비아,씨티씨바이오,상신이디피,마크로젠,GST,부방,한양디지텍,한국전자금융,휴비츠,코아시아,에코플라스틱,네오팜,코세스,아비코전자,피에이치에이,매커스,팅크웨어,제이스텍,동양이엔피,지어소프트,이스트소프트,모베이스전자,세종텔레콤,인성정보,KNN,에이티넘인베스트,오리엔탈정공,삼보모터스,대성창투,흥구석유,3S,유비벨록스,솔본,케이에스피,파라텍,유아이엘,세코닉스,시그네틱스,에이테크솔루션,에이텍,우수AMS,오상자이엘,메타바이오메드,라온시큐어,인포뱅크,EG,피제이메탈,시공테크,코리아에프티,YBM넷,한국컴퓨터,제이티,브리지텍,경창산업,이라이콤,에이루트,웨이브일렉트로,제일테크노스,손오공,모베이스,구영테크,성호전자,프리엠스,푸른기술,슈프리마에이치큐,서진오토모티브,대창솔루션,누리플렉스,제이엠티,루멘스,웨스트라이즈,아이크래프트,재영솔루텍,오스템,아이엠,KB오토시스,일지테크,KBI메탈,팬스타엔터프라이즈,모헨즈,앤씨앤,토탈소프트,메디앙스,뉴보텍,세동,에스앤더블류,스카이문스테크놀로지
-0.012066365007541479,-0.012658227848101266,0.018648018648018648,0.08598726114649681,0.04129263913824058,-0.03314917127071823,0.0071877807726864335,-0.014760147601476014,-0.05367647058823529,0.056043956043956046,0.02738095238095238,0.05008787346221441,0.01174496644295302,0.038135593220338986,0.05073649754500818,-0.05193075898801598,0.36186770428015563,0.01664932362122789,-0.048295454545454544,0.010285714285714285,-0.018561484918793503,-0.0149812734082397,-0.010078387458006719,0.02287581699346405,0.0035294117647058825,-0.028814669286182055,0.024778761061946902,-0.034106412005457026,0.001968503937007874,0.016088060965283656,-0.00651890482398957,0.021653543307086614,0.033507853403141365,-0.005952380952380952,0.030797101449275364,-0.03179650238473768,0.007462686567164179,-0.052348993288590606,0.016666666666666666,-0.02727272727272727,0.12455516014234876,-0.007608695652173913,0.005545286506469501,0.0025220680958385876,-0.033185840707964605,-0.04,0.4057672502574665,0.05672268907563025,0.05290190035952748,-0.011437908496732025,-0.01397712833545108,0.0,0.05196629213483146,-0.01967799642218247,-0.05560382276281494,0.05214723926380368,0.006925207756232687,0.004545454545454545,0.010340632603406326,0.11013215859030837,-0.066006600660066,-0.005859375,-0.021442495126705652,0.01529051987767584,0.08384146341463415,0.012698412698412698,-0.011456628477905073,0.07420494699646643,0.017990074441687345,-0.019595035924232528,0.04409448818897638,-0.024761904761904763,0.011695906432748537,-0.021,0.04284103720405862,-0.018050541516245487,-0.05308464849354376,-0.00333889816360601,0.020761245674740483,0.004694835680751174,0.031746031746031744,0.020833333333333332,-0.04694323144104803,0.01545253863134658,0.09475465313028765,0.007849293563579277,0.025044722719141325,0.001941747572815534,-0.14744801512287334,-0.00823045267489712,-0.3670886075949367,0.06111111111111111,0.288265306122449,-0.07188841201716738,0.02455661664392906,0.004484304932735426,0.006896551724137931,0.0416403785488959,-0.02185380557648832,0.021621621621621623,-0.00202020202020202,-0.00530035335689046,-0.08280254777070063,0.09936908517350158,0.07,-0.027225130890052355,0.08184143222506395,-0.011750881316098707,-0.016709511568123392,-0.048160535117056855,-0.07133243606998654,-0.024719101123595506,-0.028481012658227847,0.0014792899408284023,-0.007142857142857143,0.26003824091778205,0.05731225296442688,-0.09882583170254403,0.2136986301369863,-0.09246575342465753,-0.0012658227848101266,0.13435114503816795,-0.019955654101995565,-0.03741496598639456,0.011538461538461539,0.1346153846153846,-0.03528225806451613,0.014893617021276596,0.08071748878923767,0.1979480989740495,0.006160164271047228,-0.041501976284584984,-0.032673267326732675,0.02614795918367347,-0.03939393939393939,-0.02654867256637168,-0.07584830339321358,-0.06778566817301485,-0.016260162601626018,-0.001563314226159458,0.06876790830945559,0.002044989775051125,-0.05660377358490566,0.09099099099099099,0.03268945022288262,-0.05822784810126582,0.047325102880658436,-0.012474012474012475,-0.0071174377224199285,-0.07256235827664399,0.03894297635605007,-0.002244668911335578,0.008674101610904586,0.14227642276422764,0.02483660130718954,0.16789297658862876,-0.019916142557651992,-0.044924154025670945,-0.04215456674473068,-0.012875536480686695,-0.087248322147651,0.007535795026375283,0.015358361774744027,0.04767879548306148,0.014986376021798364,-0.03350253807106599,0.01282051282051282,-0.007765314926660914,-0.08911521323997454,-0.01434878587196468,0.2119205298013245,-0.05177603853100542,-0.0892687559354226,-0.007334963325183374,0.04989816700610998,-0.04667609618104668,0.04,-0.0043541364296081275,0.09742120343839542,0.0798442064264849,-0.039735099337748346,0.010169491525423728,0.014519056261343012,-0.09036144578313253,-0.039806996381182146,0.06753812636165578,-0.04345202172601086,0.0,0.061855670103092786,0.17814113597246128,-0.01901901901901902,0.03941605839416058,0.049265341400172864,-0.03885291396854764,0.0024096385542168677,0.0,0.049723756906077346,-0.057692307692307696,0.07983193277310924,0.0017825311942959,-0.016507384882710686,0.0027247956403269754,-0.03632478632478633,0.00778816199376947,0.19325842696629214,-0.02018348623853211,0.03,-0.011315417256011316,0.006550218340611353,-0.00744047619047619,-0.031067961165048542,-0.0037735849056603774,0.0034562211981566822,-0.08634538152610442,0.02631578947368421,-0.005263157894736842,-0.013389711064129669,-0.0016168148746968471,-0.008998875140607425,0.0028694404591104736,-0.05539772727272727,-0.04241071428571429,-0.023809523809523808,-0.011842105263157895,-0.05,0.02536997885835095,0.01989389920424403,0.12248322147651007,-0.006021073758153537,-0.07854984894259819,0.020719738276990186,-0.050314465408805034,-0.007472826086956522,0.05730659025787966,0.029336734693877552,0.041666666666666664,-0.011917659804983749,0.04404567699836868,0.01405152224824356,0.006417112299465241,0.013647642679900745,-0.08214747736093143
-0.012066365007541479,-0.012658227848101266,0.018648018648018648,0.08598726114649681,0.04129263913824058,-0.03314917127071823,0.0071877807726864335,-0.014760147601476014,-0.05367647058823529,0.056043956043956046,0.02738095238095238,0.05008787346221441,0.01174496644295302,0.038135593220338986,0.05073649754500818,-0.05193075898801598,0.36186770428015563,0.01664932362122789,-0.048295454545454544,0.010285714285714285,-0.018561484918793503,-0.0149812734082397,-0.010078387458006719,0.02287581699346405,0.0035294117647058825,-0.028814669286182055,0.024778761061946902,-0.034106412005457026,0.001968503937007874,0.016088060965283656,-0.00651890482398957,0.021653543307086614,0.033507853403141365,-0.005952380952380952,0.030797101449275364,-0.03179650238473768,0.007462686567164179,-0.052348993288590606,0.016666666666666666,-0.02727272727272727,0.12455516014234876,-0.007608695652173913,0.005545286506469501,0.0025220680958385876,-0.033185840707964605,-0.04,0.4057672502574665,0.05672268907563025,0.05290190035952748,-0.011437908496732025,-0.01397712833545108,0.0,0.05196629213483146,-0.01967799642218247,-0.05560382276281494,0.05214723926380368,0.006925207756232687,0.004545454545454545,0.010340632603406326,0.11013215859030837,-0.066006600660066,-0.005859375,-0.021442495126705652,0.01529051987767584,0.08384146341463415,0.012698412698412698,-0.011456628477905073,0.07420494699646643,0.017990074441687345,-0.019595035924232528,0.04409448818897638,-0.024761904761904763,0.011695906432748537,-0.021,0.04284103720405862,-0.018050541516245487,-0.05308464849354376,-0.00333889816360601,0.020761245674740483,0.004694835680751174,0.031746031746031744,0.020833333333333332,-0.04694323144104803,0.01545253863134658,0.09475465313028765,0.007849293563579277,0.025044722719141325,0.001941747572815534,-0.14744801512287334,-0.00823045267489712,-0.3670886075949367,0.06111111111111111,0.288265306122449,-0.07188841201716738,0.02455661664392906,0.004484304932735426,0.006896551724137931,0.0416403785488959,-0.02185380557648832,0.021621621621621623,-0.00202020202020202,-0.00530035335689046,-0.08280254777070063,0.09936908517350158,0.07,-0.027225130890052355,0.08184143222506395,-0.011750881316098707,-0.016709511568123392,-0.048160535117056855,-0.07133243606998654,-0.024719101123595506,-0.028481012658227847,0.0014792899408284023,-0.007142857142857143,0.26003824091778205,0.05731225296442688,-0.09882583170254403,0.2136986301369863,-0.09246575342465753,-0.0012658227848101266,0.13435114503816795,-0.019955654101995565,-0.03741496598639456,0.011538461538461539,0.1346153846153846,-0.03528225806451613,0.014893617021276596,0.08071748878923767,0.1979480989740495,0.006160164271047228,-0.041501976284584984,-0.032673267326732675,0.02614795918367347,-0.03939393939393939,-0.02654867256637168,-0.07584830339321358,-0.06778566817301485,-0.016260162601626018,-0.001563314226159458,0.06876790830945559,0.002044989775051125,-0.05660377358490566,0.09099099099099099,0.03268945022288262,-0.05822784810126582,0.047325102880658436,-0.012474012474012475,-0.0071174377224199285,-0.07256235827664399,0.03894297635605007,-0.002244668911335578,0.008674101610904586,0.14227642276422764,0.02483660130718954,0.16789297658862876,-0.019916142557651992,-0.044924154025670945,-0.04215456674473068,-0.012875536480686695,-0.087248322147651,0.007535795026375283,0.015358361774744027,0.04767879548306148,0.014986376021798364,-0.03350253807106599,0.01282051282051282,-0.007765314926660914,-0.08911521323997454,-0.01434878587196468,0.2119205298013245,-0.05177603853100542,-0.0892687559354226,-0.007334963325183374,0.04989816700610998,-0.04667609618104668,0.04,-0.0043541364296081275,0.09742120343839542,0.0798442064264849,-0.039735099337748346,0.010169491525423728,0.014519056261343012,-0.09036144578313253,-0.039806996381182146,0.06753812636165578,-0.04345202172601086,0.0,0.061855670103092786,0.17814113597246128,-0.01901901901901902,0.03941605839416058,0.049265341400172864,-0.03885291396854764,0.0024096385542168677,0.0,0.049723756906077346,-0.057692307692307696,0.07983193277310924,0.0017825311942959,-0.016507384882710686,0.0027247956403269754,-0.03632478632478633,0.00778816199376947,0.19325842696629214,-0.02018348623853211,0.03,-0.011315417256011316,0.006550218340611353,-0.00744047619047619,-0.031067961165048542,-0.0037735849056603774,0.0034562211981566822,-0.08634538152610442,0.02631578947368421,-0.005263157894736842,-0.013389711064129669,-0.0016168148746968471,-0.008998875140607425,0.0028694404591104736,-0.05539772727272727,-0.04241071428571429,-0.023809523809523808,-0.011842105263157895,-0.05,0.02536997885835095,0.01989389920424403,0.12248322147651007,-0.006021073758153537,-0.07854984894259819,0.020719738276990186,-0.050314465408805034,-0.007472826086956522,0.05730659025787966,0.029336734693877552,0.041666666666666664,-0.011917659804983749,0.04404567699836868,0.01405152224824356,0.006417112299465241,0.013647642679900745,-0.08214747736093143
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0
