Name,Code
와이지엔터테인먼트,122870
비츠로셀,082920
에스앤더블류,103230
STX중공업,071970
에이테크솔루션,071670
에스앤에스텍,101490
디아이,003160
HLB,028300
현대엘리베이,017800
동원금속,018500
성안,011300
성우하이텍,015750
동화기업,025900
시노펙스,025320
메디앙스,014100
경창산업,024910
KBI메탈,024840
KB오토시스,024120
홍구석유,024060
웅진,016880
모베이스전자,012860
LS ELECTRIC,010120
부방,014470
화신,010690
일지테크,019540
세아베스틸지주,001430
태경비케이,014580
극동유화,014530
아센디오,012170
한올바이오파마,009420
