Cluster,Name,Code
4,아세아,002030
6,한일홀딩스,003300
6,한화리츠,451800
2,대원제약,003220
2,에어부산,298690
1,파미셀,005690
4,남선알미늄,008350
6,HL홀딩스,060980
3,대동,000490
5,효성화학,298000
1,티와이홀딩스,363280
2,남양유업,003920
0,STX중공업,071970
6,한국쉘석유,002960
0,대원강업,000430
2,HJ중공업,097230
0,대한제당,001790
6,웅진씽크빅,095720
1,콘텐트리중앙,036420
6,농심홀딩스,072710
2,삼진제약,005500
0,포스코스틸리온,058430
3,CR홀딩스,000480
1,KEC,092220
4,스틱인베스트먼트,026890
2,지역난방공사,071320
1,한국콜마홀딩스,024720
6,SNT홀딩스,036530
6,종근당홀딩스,001630
0,YG PLUS,037270
1,지누스,013890
4,사조대림,003960
2,스카이라이프,053210
2,DL건설,001880
0,알루코,001780
2,휴스틸,005010
3,동국홀딩스,001230
2,이연제약,102460
6,모토닉,009680
2,코오롱플라스틱,138490
6,동화약품,000020
2,STX엔진,077970
2,수산인더스트리,126720
2,신성통상,005390
6,락앤락,115390
2,환인제약,016580
0,한농화성,011500
2,도화엔지니어링,002150
3,이엔플러스,074610
3,조일알미늄,018470
2,제일약품,271980
6,BYC,001460
2,LG헬로비전,037560
1,잇츠한불,226320
1,HD현대에너지솔루션,322000
2,세진중공업,075580
5,에이프로젠,007460
6,현대코퍼레이션,011760
2,한솔제지,213500
2,롯데하이마트,071840
1,한전산업,130660
1,코오롱글로벌,003070
6,JW홀딩스,096760
6,이지스밸류리츠,334890
1,SIMPAC,009160
0,현대비앤지스틸,004560
6,AK홀딩스,006840
5,한미글로벌,053690
6,넥센,005720
1,TYM,002900
3,대성에너지,117580
2,동성케미컬,102260
2,삼익THK,004380
5,아시아나IDT,267850
6,KPX홀딩스,092230
6,대한제분,001130
6,한국제지,027970
6,대덕,008060
6,대교,019680
2,코오롱,002020
6,사조산업,007160
2,성신양회,004980
6,예스코홀딩스,015360
6,하이트진로홀딩스,000140
2,신세계 I&C,035510
4,GS글로벌,001250
6,신한서부티엔디리츠,404990
4,한솔테크닉스,004710
2,금호건설,002990
3,에스엠벡셀,010580
6,한세예스24홀딩스,016450
2,디앤디플랫폼리츠,377190
2,이월드,084680
2,경농,002100
2,NPC,004250
6,HDC랩스,039570
2,무림P&P,009580
3,태경산업,015890
2,KSS해운,044450
1,키다리스튜디오,020120
2,자이에스앤디,317400
2,일진다이아,081000
1,에이프로젠바이오로직스,003060
0,디아이씨,092200
1,제일파마홀딩스,002620
0,태경비케이,014580
4,우진,105840
6,일진홀딩스,015860
0,벽산,007210
2,교촌에프앤비,339770
2,미원홀딩스,107590
6,동아지질,028100
6,진양홀딩스,100250
2,아주스틸,139990
6,서연,007860
0,에이블씨엔씨,078520
2,진흥기업,002780
4,NI스틸,008260
1,대창단조,015230
1,그린케미칼,083420
2,금강공업,014280
1,HLB글로벌,003580
2,대성산업,128820
6,동아타이어,282690
2,선진,136490
2,현대리바트,079430
2,해태제과식품,101530
0,디아이,003160
3,퍼스텍,010820
5,경동인베스트,012320
0,SNT에너지,100840
1,한신기계,011700
2,신세계푸드,031440
6,한국주철관,000970
1,삼성제약,001360
6,노루홀딩스,000320
2,경인양행,012610
2,유수홀딩스,000700
2,동성제약,002210
4,디와이,013570
0,극동유화,014530
4,태경케미컬,006890
1,삼성출판사,068290
2,세종공업,033530
6,HDC현대EP,089470
2,용평리조트,070960
6,NH올원리츠,400760
5,휴비스,079980
6,성창기업지주,000180
1,페이퍼코리아,001020
6,효성ITX,094280
2,동부건설,005960
2,신라교역,004970
0,국제약품,002720
3,한국석유,004090
1,테이팩스,055490
3,샘표,007540
4,가온전선,000500
2,인스코비,006490
2,대한화섬,003830
6,디와이파워,210540
2,태영건설,009410
2,신원,009270
6,사조동아원,008040
6,신흥,004080
6,신일전자,002700
1,금호에이치티,214330
4,한국수출포장,002200
2,수산중공업,017550
2,현대약품,004310
1,한컴라이프케어,372910
2,계룡건설,013580
6,미창석유,003650
3,이구산업,025820
1,샘표식품,248170
3,인지컨트롤스,023800
3,한국내화,010040
6,황금에스티,032560
2,KCTC,009070
2,세아특수강,019440
6,삼원강재,023000
2,한솔홀딩스,004150
2,종근당바이오,063160
1,광전자,017900
2,경동도시가스,267290
3,유니온머티리얼,047400
0,두올,016740
6,인천도시가스,034590
3,대창,012800
2,팜스코,036580
3,웰바이오텍,010600
4,DRB동일,004840
5,씨티알모빌리티,308170
2,한국특강,007280
2,유유제약,000220
6,화성산업,002460
0,아센디오,012170
0,웅진,016880
0,유니퀘스트,077500
6,이지스레지던스리츠,350520
0,부국철강,026940
6,크라운제과,264900
6,HS애드,035000
2,CJ씨푸드,011150
4,광명전기,017040
2,조흥,002600
1,한국화장품제조,003350
6,엔에이치스팩19호,380440
2,깨끗한나라,004540
3,와이투솔루션,011690
2,미래에셋글로벌리츠,396690
2,삼익악기,002450
5,한국화장품,123690
6,코스맥스비티아이,044820
2,동방,004140
3,토니모리,214420
3,삼화전기,009470
6,모나리자,012690
2,한진중공업홀딩스,003480
2,삼일제약,000520
6,텔코웨어,078000
2,에이플러스에셋,244920
0,화천기계,010660
2,동양철관,008970
1,일성건설,013360
0,성안,011300
4,콤텍시스템,031820
2,무림페이퍼,009200
0,인팩,023810
6,삼호개발,010960
3,남성,004270
2,크라운해태홀딩스,005740
6,동일고무벨트,163560
3,휴니드,005870
3,유니드비티플러스,446070
2,한신공영,004960
2,지엠비코리아,013870
2,다스코,058730
6,엔케이,085310
6,사조오양,006090
6,대원전선,006340
6,일신석재,007110
3,KC코트렐,119650
3,KC그린홀딩스,009440
2,조광페인트,004910
2,명문제약,017180
2,새론오토모티브,075180
2,보해양조,000890
2,HL D&I,014790
2,남광토건,001260
5,고려산업,002140
6,화승알앤에이,378850
0,동원금속,018500
6,영보화학,014440
4,상신브레이크,041650
6,NH프라임리츠,338100
6,유성기업,002920
3,신송홀딩스,006880
2,SH에너지화학,002360
2,까뮤이앤씨,013700
3,대호에이엘,069460
2,이건산업,008250
6,화천기공,000850
2,인터지스,129260
2,마니커,027740
2,삼성공조,006660
4,평화산업,090080
2,조비,001550
3,서원,021050
2,한솔홈데코,025750
2,SG글로벌,001380
1,혜인,003010
6,CS홀딩스,000590
2,서울식품,004410
2,한솔로지스틱스,009180
6,한익스프레스,014130
6,케이비아이동국실업,001620
2,대우부품,009320
1,범양건영,002410
1,한세엠케이,069640
2,부산산업,011390
2,한일철강,002220
1,에이엔피,015260
6,세원정공,021820
3,하이스틸,071090
1,에스메디,118000
6,동양피스톤,092780
2,문배철강,008420
2,핸즈코퍼레이션,143210
2,사조씨푸드,014710
6,삼정펄프,009770
5,인디에프,014990
2,우성,006980
2,DSR제강,069730
2,한국종합기술,023350
2,대림B&Co,005750
1,일진디스플,020760
2,미래에셋맵스리츠,357250
3,메타랩스,090370
2,티에이치엔,019180
2,영흥,012160
2,삼일씨엔에스,004440
5,SJM,123700
3,에쓰씨엔지니어링,023960
2,모나미,005360
2,한창제지,009460
3,SJM홀딩스,025530
2,신세계건설,034300
2,티웨이홀딩스,004870
0,유엔젤,072130
2,계양전기,012200
2,진양화학,051630
6,영화금속,012280
1,평화홀딩스,010770
1,한국전자홀딩스,006200
1,화인베스틸,133820
1,하이트론,019490
3,비비안,002070
5,대유에이텍,002880
4,태원물산,001420
2,동일제강,002690
6,TBH글로벌,084870
1,국보,001140
2,주연테크,044380
1,참엔지니어링,009310
2,세기상사,002420
2,에넥스,011090
2,동원수산,030720
3,성문전자,014910
4,한성기업,003680
0,한국주강,025890
2,SUN&L,002820
1,금호전기,001210
1,신풍,002870
3,제이준코스메틱,025620
5,코아스,071950
4,셀트리온헬스케어,091990
3,엘앤에프,066970
0,HLB,028300
0,알테오젠,196170
0,셀트리온제약,068760
0,JYP Ent.,035900
4,리노공업,058470
2,펄어비스,263750
0,클래시스,214150
4,솔브레인,357780
1,카카오게임즈,293490
0,에스엠,041510
4,동진쎄미켐,005290
4,휴젤,145020
0,이오테크닉스,039030
1,CJ ENM,035760
3,더블유씨피,393890
4,원익IPS,240810
2,스튜디오드래곤,253450
0,삼천당제약,000250
0,메디톡스,086900
3,케어젠,214370
0,나노신소재,121600
0,동화기업,025900
0,대주전자재료,078600
6,티씨케이,064760
1,천보,278280
2,파라다이스,034230
2,씨젠,096530
1,성일하이텍,365340
0,심텍,222800
0,엔켐,348370
6,HK이노엔,195940
0,피엔티,137400
3,현대바이오,048410
6,덕산네오룩스,213420
0,파마리서치,214450
4,파크시스템스,140860
0,와이지엔터테인먼트,122870
0,에코프로에이치엔,383310
2,에스에프에이,056190
2,HLB생명과학,067630
1,에이비엘바이오,298380
0,에스앤에스텍,101490
0,하나머티리얼즈,166090
1,고영,098460
0,솔브레인홀딩스,036830
0,유진테크,084370
3,제이오,418550
4,차바이오텍,085660
0,아프리카TV,067160
4,SFA반도체,036540
0,두산테스나,131970
4,제이시스메디칼,287410
1,하림지주,003380
0,씨아이에스,222080
3,바이오니아,064550
4,인텔리안테크,189300
0,이엠텍,091120
1,위지윅스튜디오,299900
3,오스코텍,039200
3,디어유,376300
6,안랩,053800
6,원익QnC,074600
0,엘앤씨바이오,290650
4,넥스틴,348210
6,서진시스템,178320
2,컴투스,078340
0,성우하이텍,015750
0,보로노이,310210
0,아이센스,099190
2,코오롱티슈진,950160
1,이녹스첨단소재,272290
5,데브시스터즈,194480
4,코미코,183300
2,아난티,025980
0,씨앤씨인터내셔널,352480
5,신라젠,215600
6,서울반도체,046890
4,피에스케이,319660
0,에프에스티,036810
6,스마트솔루션즈,136510
3,엔케이맥스,182400
0,우리기술투자,041190
0,하나기술,299030
0,툴젠,199800
