y_test,y_pred,change,chg_rate
12833.0,12691.366,141.6337890625,1.1159853612957689
5420.0,5532.579,-112.5791015625,-2.0348394391813693
11500.0,11317.737,182.2626953125,1.6104163792263648
6430.0,5983.726,446.27392578125,7.458127598855979
2580.0,2521.0022,58.997802734375,2.3402519362484595
5470.0,5264.412,205.587890625,3.9052393002987706
3065.0,3138.9165,-73.91650390625,-2.3548413541508357
15600.0,15314.684,285.31640625,1.8630251451387418
1810.0,1811.2104,-1.21044921875,-0.0668309538116963
14882.0,15488.873,-606.873046875,-3.9181226745056272
33885.0,33510.133,374.8671875,1.1186681640371372
3760.0,3723.3552,36.644775390625,0.9841869276512418
47800.0,46008.855,1791.14453125,3.8930430087889842
1662.0,1623.8478,38.1522216796875,2.349494958151291
9590.0,9627.086,-37.0859375,-0.38522495530595235
1948.0,2009.5251,-61.525146484375,-3.061675868650464
5600.0,5551.768,48.23193359375,0.8687670849508545
1695.0,1736.1292,-41.129150390625,-2.369014446959262
3875.0,3949.1,-74.10009765625,-1.8763793224746985
2420.0,2410.9802,9.019775390625,0.3741123754794122
9370.0,9457.268,-87.267578125,-0.9227567836491488
3700.0,3663.302,36.697998046875,1.0017737556802333
93600.0,94485.305,-885.3046875,-0.936976062497814
4590.0,4344.087,245.9130859375,5.660869379510807
7200.0,7342.4775,-142.4775390625,-1.9404559061230957
2718.0,2820.8684,-102.868408203125,-3.646692908608648
7650.0,7414.8364,235.16357421875,3.171527471612058
6216.0,6175.806,40.19384765625,0.6508275464733658
5200.0,5256.112,-56.11181640625,-1.0675537044532513
36050.0,35970.445,79.5546875,0.2211668129456105
7993.0,8244.01,-251.009765625,-3.044753375616244
15100.0,14851.066,248.93359375,1.6762001255696861
4530.0,4393.7812,136.21875,3.1002624447905776
2230.0,2296.9106,-66.91064453125,-2.9130712894974207
5330.0,5236.5073,93.49267578125,1.7854014134354037
7610.0,7868.1914,-258.19140625,-3.2814581257505866
3426.0,3477.4807,-51.480712890625,-1.4804025425588088
37000.0,37866.746,-866.74609375,-2.288937347835806
32570.0,33443.113,-873.11328125,-2.6107416313406264
38700.0,38375.66,324.33984375,0.8451707213098635
6680.0,6541.668,138.33203125,2.114629356164539
2519396.0,2509944.5,9451.5,0.3765621112339336
11450.0,11631.6045,-181.6044921875,-1.5613021600715253
12600.0,12768.726,-168.7255859375,-1.321397227952972
31550.0,31330.5,219.5,0.7005952665932558
701.0,708.71686,-7.71685791015625,-1.0888492102348881
1475.0,1469.588,5.4119873046875,0.3682656130789738
3400.0,3398.3586,1.641357421875,0.04829853451340861
3197.0,3156.5754,40.424560546875,1.2806461091225665
4480.0,4526.168,-46.16796875,-1.0200233192572012
3610.0,3625.5154,-15.515380859375,-0.42794966313719807
22250.0,21825.041,424.958984375,1.9471165441144558
3175.0,3303.3247,-128.32470703125,-3.8847136873376718
230500.0,225948.67,4551.328125,2.014319485585602
7340.0,7328.3184,11.681640625,0.15940410953975362
13000.0,12873.311,126.689453125,0.9841248889607026
1526.0,1585.2825,-59.282470703125,-3.739552527621861
3358.0,3329.8826,28.117431640625,0.8443970939935695
1930.0,2004.1681,-74.1680908203125,-3.7006921305665164
15250.0,14875.257,374.7431640625,2.5192382773327906
35200.0,35647.945,-447.9453125,-1.2565810135007343
2710.0,2819.2996,-109.299560546875,-3.876833880173895
4135.0,4144.51,-9.509765625,-0.22945453534396268
3945.0,3853.2412,91.7587890625,2.3813403843507355
3166.0,3213.5862,-47.586181640625,-1.4807812503205044
10350.0,10323.982,26.017578125,0.25201106570922266
9130.0,8998.131,131.869140625,1.4655170355475302
1725.0,1819.3722,-94.3721923828125,-5.187074573191879
12550.0,12648.183,-98.1826171875,-0.7762586939097522
3313.0,3313.0605,-0.060546875,-0.001827520932483713
8458.0,8426.756,31.244140625,0.3707730607887498
3519.0,3396.51,122.489990234375,3.6063485719810195
13987.0,13816.537,170.462890625,1.233759872503328
3449.0,3370.756,78.243896484375,2.321256539527387
1673.0,1652.0737,20.92626953125,1.2666668045930674
4155.0,4159.2017,-4.20166015625,-0.10102083283194677
4200.0,4192.0557,7.9443359375,0.18950931414401076
526.0,513.2912,12.70880126953125,2.475943733491657
3026.0,2991.3938,34.606201171875,1.1568587587977197
5280.0,5283.919,-3.9189453125,-0.07416740023948695
6582.0,6620.7764,-38.7763671875,-0.5856770420411008
73957.0,74673.84,-716.84375,-0.9599663202016436
3953.0,4283.803,-330.80322265625,-7.72218529802425
6482.0,6489.6045,-7.6044921875,-0.11717959386669334
1860.0,1918.7272,-58.7271728515625,-3.060735975520881
6450.0,6509.8813,-59.88134765625,-0.9198531349240192
10150.0,9990.352,159.6484375,1.5980262206112932
3725.0,3816.0708,-91.07080078125,-2.386507104705851
51500.0,52197.773,-697.7734375,-1.3367877431314046
4742.0,4535.4033,206.5966796875,4.55519972749116
6964.0,7112.0303,-148.0302734375,-2.081406683410413
3622.0,3612.843,9.156982421875,0.2534564158288117
9310.0,9315.221,-5.220703125,-0.056044867764094924
11550.0,11331.412,218.587890625,1.9290436930111485
3085.0,3013.0618,71.938232421875,2.38754589089285
1995.0,2079.2488,-84.248779296875,-4.051885475934477
46770.0,47290.098,-520.09765625,-1.0998024576531242
3405.0,3446.7427,-41.74267578125,-1.2110760711717032
5490.0,5469.219,20.78076171875,0.3799584696348822
2258.0,2301.2651,-43.26513671875,-1.8800587567427987
24050.0,24080.709,-30.708984375,-0.12752525016985927
4825.0,4886.9976,-61.99755859375,-1.2686226635151012
9160.0,9152.968,7.0322265625,0.0768300155377797
