,Name,Open,High,Low,Close,Volume,Change
2023-11-14,NAVER,194100,198900,194000,198600,478385,0.031152647975077885
2023-11-15,NAVER,203500,206000,202000,205500,846436,0.03474320241691853
2023-11-16,NAVER,204000,204500,200500,203000,425403,-0.012165450121654486
2023-11-17,NAVER,203000,204000,200000,202000,406874,-0.0049261083743842304
2023-11-20,NAVER,200500,203500,200000,202500,272327,0.0024752475247524774
2023-11-21,NAVER,205000,207500,204000,204500,463033,0.009876543209876631
2023-11-22,NAVER,202500,207500,200500,207500,357391,0.014669926650366705
2023-11-23,NAVER,206500,208000,204500,205500,345224,-0.009638554216867434
2023-11-24,NAVER,205500,207500,204000,205500,335280,0.0
2023-11-27,NAVER,205500,211000,205000,206000,538210,0.0024330900243310083
2023-11-28,NAVER,208000,210000,204500,207500,550801,0.00728155339805836
2023-11-29,NAVER,208500,209000,205500,207500,496563,0.0
2023-11-30,NAVER,206500,209500,206500,208000,642304,0.002409638554216942
2023-11-01,기아,77400,77900,76800,77400,754912,0.006501950585175553
2023-11-02,기아,77900,79700,77700,78500,1387393,0.01421188630490966
2023-11-03,기아,79200,79400,77200,77600,1314264,-0.01146496815286624
2023-11-06,기아,78700,79200,77900,79000,2083115,0.018041237113401998
2023-11-07,기아,78600,78700,77300,77500,1285076,-0.01898734177215189
2023-11-08,기아,77800,77900,77000,77000,1038502,-0.006451612903225823
2023-11-09,기아,77300,77900,77000,77500,837826,0.006493506493506551
2023-11-10,기아,77000,77900,77000,77000,660121,-0.006451612903225823
2023-11-13,기아,77600,77700,77000,77000,518786,0.0
2023-11-14,기아,77700,78500,77300,78200,1037469,0.01558441558441559
2023-11-15,기아,80100,82200,79900,81500,2150765,0.0421994884910486
2023-11-16,기아,81600,84500,81300,84500,2107692,0.036809815950920255
2023-11-17,기아,84100,85300,83600,85200,1271006,0.008284023668639007
2023-11-20,기아,84600,84900,83700,84400,973922,-0.009389671361502372
2023-11-21,기아,84400,84600,83600,83600,916802,-0.009478672985781977
2023-11-22,기아,83000,83400,82200,83100,730476,-0.005980861244019087
2023-11-23,기아,83100,84600,82700,84500,636051,0.016847172081829065
2023-11-24,기아,84500,84700,83700,84200,594791,-0.0035502958579881616
2023-11-27,기아,84200,85000,83900,84100,539991,-0.001187648456057011
2023-11-28,기아,84900,84900,83700,84600,774545,0.005945303210463715
2023-11-29,기아,84200,86200,84200,86000,1346329,0.016548463356973908
2023-11-30,기아,85800,86800,84700,85900,1896215,-0.0011627906976744429
2023-11-01,LG화학,440500,444000,429500,431000,352808,-0.020454545454545503
2023-11-02,LG화학,440000,458000,438000,455500,285900,0.05684454756380508
2023-11-03,LG화학,466000,474500,463500,471000,296159,0.034028540065861757
2023-11-06,LG화학,499000,529000,487500,521000,713254,0.10615711252653925
2023-11-07,LG화학,509000,512000,483500,492000,539187,-0.05566218809980805
2023-11-08,LG화학,496500,505000,474500,478000,276747,-0.028455284552845517
2023-11-09,LG화학,477000,482000,463500,467500,378393,-0.021966527196652708
2023-11-10,LG화학,460500,461000,450500,457500,192219,-0.021390374331550777
2023-11-13,LG화학,460000,466500,452000,453500,180132,-0.008743169398907069
2023-11-14,LG화학,464000,473000,460000,465000,196531,0.025358324145534628
2023-11-15,LG화학,483500,486000,474500,480000,261064,0.032258064516129004
2023-11-16,LG화학,477000,483500,473500,480000,141192,0.0
2023-11-17,LG화학,478000,489500,476500,484000,195198,0.008333333333333304
2023-11-20,LG화학,481000,503000,481000,493500,236740,0.019628099173553792
2023-11-21,LG화학,502000,505000,493500,501000,173343,0.015197568389057725
2023-11-22,LG화학,496000,508000,495000,504000,137990,0.0059880239520957446
2023-11-23,LG화학,505000,527000,505000,519000,339574,0.029761904761904656
2023-11-24,LG화학,527000,537000,513000,514000,269104,-0.009633911368015391
2023-11-27,LG화학,519000,520000,504000,506000,159379,-0.015564202334630295
2023-11-28,LG화학,509000,517000,502000,504000,195567,-0.0039525691699604515
2023-11-29,LG화학,507000,511000,495500,504000,326444,0.0
2023-11-30,LG화학,499000,506000,498000,501000,287538,-0.005952380952380931
2023-11-01,삼성SDI,430000,443500,422500,425500,389358,0.0
2023-11-02,삼성SDI,436500,454000,434500,451000,445802,0.059929494712103404
2023-11-03,삼성SDI,458000,465000,450500,454000,323288,0.006651884700665134
2023-11-06,삼성SDI,478000,522000,465500,506000,979940,0.1145374449339207
2023-11-07,삼성SDI,495000,495500,458000,466000,642838,-0.07905138339920947
2023-11-08,삼성SDI,470500,474500,450000,450000,380310,-0.03433476394849788
2023-11-09,삼성SDI,450000,454000,436500,439500,354047,-0.023333333333333317
2023-11-10,삼성SDI,427000,429500,418000,420000,387751,-0.04436860068259385
2023-11-13,삼성SDI,424000,430000,417000,417000,277544,-0.0071428571428571175
2023-11-14,삼성SDI,426500,441500,425500,435000,373809,0.043165467625899234
2023-11-15,삼성SDI,450000,452000,444000,448500,385615,0.03103448275862064
2023-11-16,삼성SDI,448500,461000,444500,455000,243428,0.01449275362318847
2023-11-17,삼성SDI,450000,452500,443000,444000,216245,-0.0241758241758242
2023-11-20,삼성SDI,446000,465000,446000,460500,237729,0.03716216216216206
2023-11-21,삼성SDI,470000,474000,461000,466000,305803,0.011943539630836053
2023-11-22,삼성SDI,462500,474500,462500,471500,214222,0.011802575107296098
2023-11-23,삼성SDI,471500,481000,467000,475000,191498,0.007423117709437932
2023-11-24,삼성SDI,476000,479500,463000,463000,250887,-0.025263157894736876
2023-11-27,삼성SDI,465000,466500,453000,453500,206628,-0.02051835853131745
2023-11-28,삼성SDI,456500,459500,452500,455000,219732,0.00330760749724357
2023-11-29,삼성SDI,460500,474500,454000,471500,245968,0.03626373626373636
2023-11-30,삼성SDI,471000,473500,463500,472000,383120,0.0010604453870626251
2023-11-01,포스코퓨처엠,240500,246000,231500,233500,968352,-0.012684989429175508
2023-11-02,포스코퓨처엠,242000,259500,240500,259500,1121030,0.11134903640256955
2023-11-03,포스코퓨처엠,271500,272500,260000,269000,1352525,0.03660886319845846
2023-11-06,포스코퓨처엠,320000,349500,307000,349500,3296384,0.2992565055762082
2023-11-07,포스코퓨처엠,348500,361000,300000,311000,3072294,-0.11015736766809725
2023-11-08,포스코퓨처엠,307000,324500,296500,300000,1381755,-0.03536977491961413
2023-11-09,포스코퓨처엠,305500,308500,282000,291500,1327132,-0.02833333333333332
2023-11-10,포스코퓨처엠,281500,284000,274000,277000,681972,-0.04974271012006859
2023-11-13,포스코퓨처엠,284500,289000,274000,274500,723014,-0.009025270758122761
2023-11-14,포스코퓨처엠,281500,302000,279000,295500,1268064,0.07650273224043724
2023-11-15,포스코퓨처엠,317500,320000,293000,297500,1120565,0.006768189509306355
2023-11-16,포스코퓨처엠,297000,303000,289000,293500,701953,-0.013445378151260456
2023-11-17,포스코퓨처엠,288000,293000,283000,286000,552165,-0.02555366269165249
2023-11-20,포스코퓨처엠,284500,305000,284000,300500,761493,0.05069930069930062
