,Code,Name
274,030610,교보증권
275,281820,케이씨텍
276,001720,신영증권
277,950210,프레스티지바이오파마
278,057050,현대홈쇼핑
279,005610,SPC삼립
280,383800,LX홀딩스
281,170900,동아에스티
282,003570,SNT다이내믹스
283,003470,유안타증권
284,403550,쏘카
285,097520,엠씨넥스
286,005180,빙그레
287,003280,흥아해운
288,241590,화승엔터프라이즈
289,00680K,미래에셋증권2우B
290,381970,케이카
291,001470,삼부토건
292,284740,쿠쿠홈시스
293,001390,KG케미칼
294,034310,NICE
295,068400,SK렌터카
296,014830,유니드
297,000370,한화손해보험
298,020000,한섬
299,004430,송원산업
300,002240,고려제강
301,084690,대상홀딩스
302,034120,SBS
303,357120,코람코라이프인프라리츠
304,018250,애경산업
305,091810,티웨이항공
306,145990,삼양사
307,249420,일동제약
308,214320,이노션
309,103590,일진전기
310,003000,부광약품
311,377740,바이오노트
312,058650,세아홀딩스
313,001725,신영증권우
314,183190,아세아시멘트
315,286940,롯데정보통신
316,017940,E1
317,012630,HDC
318,017810,풀무원
319,005090,SGC에너지
320,200880,서연이화
321,123890,한국자산신탁
322,009290,광동제약
323,001820,삼화콘덴서
324,033270,유나이티드제약
325,011930,신성이엔지
326,900140,엘브이엠씨홀딩스
327,006405,삼성SDI우
328,432320,KB스타리츠
329,093050,LF
330,010690,화신
331,448730,삼성FN리츠
332,004690,삼천리
333,025860,남해화학
334,108670,LX하우시스
335,094800,맵스리얼티1
336,001200,유진투자증권
337,007810,코리아써키트
338,453340,현대그린푸드
339,002320,한진
340,003520,영진약품
341,002310,아세아제지
342,027410,BGF
343,306200,세아제강
344,126560,현대퓨처넷
345,000680,LS네트웍스
346,005810,풍산홀딩스
347,016800,퍼시스
348,090435,아모레퍼시픽우
349,003545,대신증권우
350,003220,대원제약
351,007690,국도화학
352,001940,KISCO홀딩스
353,003300,한일홀딩스
354,451800,한화리츠
355,002030,아세아
356,001340,백광산업
357,005690,파미셀
358,298690,에어부산
359,003120,일성신약
360,093230,이아이디
361,298000,효성화학
362,060980,HL홀딩스
363,000490,대동
364,011810,STX
365,029530,신도리코
366,012030,DB
367,008350,남선알미늄
368,004700,조광피혁
369,003920,남양유업
370,088260,이리츠코크렙
371,00088K,한화3우B
372,008490,서흥
373,00104K,CJ4우(전환)
374,002960,한국쉘석유
375,000430,대원강업
376,071970,STX중공업
377,097230,HJ중공업
378,363280,티와이홀딩스
379,001510,SK증권
380,034830,한국토지신탁
381,005950,이수화학
382,072710,농심홀딩스
383,005500,삼진제약
384,092220,KEC
385,036420,콘텐트리중앙
386,095720,웅진씽크빅
387,084010,대한제강
388,026890,스틱인베스트먼트
389,006390,한일현대시멘트
390,037270,YG PLUS
391,017390,서울가스
392,000480,CR홀딩스
393,001880,DL건설
394,051905,LG생활건강우
